scientificName
Allium gypsodictyum
Anemone narcissifolia
Aulacospermum rosum
Bunium chaerophylloides
Bupleurum exaltatum
Bupleurum lipskyanum
Calamagrostis pseudophragmites
Carum carvi
Centaurea turkestanika
Cephalopodum badachshanicum
Corydalis paniculigera
Dracocephalum stamineum
Elaeosticta seravschanica
Enneapogon persicus
Ephedra equisetina
Ephedra gerardiana
Ephedra intermedia
Ferula conocaula
Ferrrula conocaula
Festuca agae
Festuca pamirica
Gentiana olivieri
Hippolytia schugnanica
Juncus bufonius
Juniperus communis
Kafirnigania hissarica
Libanotis tenuisecta
Linum corymbulosum
Melica persica
Melica persica
Muhlenbergia huegelii
Parasilaus asiaticus
Parrya schugnana
Piptatherum laterale
Poa glauca
Populus pamirica
Prangos pabularia
Pseudosedum condensatum
Rosularia alpestris
Rubia chitralensis
Salsola orientalis
Schtschurowskia meifolia
Semenovia furcata
Silene incurvifolia
Stipa caucasica
Torilis leptophylla
Trisetum spicatum
Ziziphora pamiroalaica
